epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
104	-0.031991675	163.15001	-19.820791	7.100156	21.720531	-35.991215	-226.64867	70.22338	-61.14468	-466.48114	1000.0	416000
105	-0.03169213	162.97809	-19.842186	7.0996766	21.720531	-36.407955	-226.85617	69.95429	-61.14468	-466.48114	1000.0	420000
106	-0.031853322	161.9488	-19.788666	7.128858	21.720531	-36.407955	-226.15945	70.42351	-61.14468	-466.48114	1000.0	424000
107	-0.03215879	161.72275	-19.779608	7.1134453	21.720531	-36.407955	-226.01314	70.72554	-61.14468	-466.48114	1000.0	428000
108	-0.032316856	161.04834	-19.827343	7.1236396	21.720531	-36.407955	-226.32066	70.74219	-61.14468	-466.48114	1000.0	432000
109	-0.032568425	160.24681	-19.771	7.170159	21.720531	-36.407955	-225.61708	71.06164	-61.14468	-466.48114	1000.0	436000
110	-0.032487143	159.45056	-19.756153	7.1881385	21.720531	-36.407955	-225.32469	70.97789	-61.14468	-466.48114	1000.0	440000
111	-0.03214671	160.0104	-19.736372	7.1912217	21.720531	-36.46622	-225.07684	70.74964	-61.14468	-466.48114	1000.0	444000
112	-0.03220089	159.63354	-19.751602	7.175099	21.720531	-36.46622	-225.17924	70.55854	-61.14468	-466.48114	1000.0	448000
113	-0.032222755	159.28844	-19.75335	7.171932	21.720531	-36.46622	-225.07004	70.58386	-61.14468	-466.48114	1000.0	452000
114	-0.032400623	158.63031	-19.741844	7.190082	21.720531	-36.46622	-224.77327	70.77593	-61.14468	-466.48114	1000.0	456000
115	-0.032626875	157.9582	-19.776798	7.1944003	21.720531	-36.46622	-224.98363	70.634895	-61.14468	-466.48114	1000.0	460000
116	-0.032543924	157.41066	-19.794367	7.190311	21.720531	-36.46622	-225.06203	70.37373	-61.14468	-466.48114	1000.0	464000
117	-0.032557312	157.07338	-19.782158	7.2019634	21.720531	-36.46622	-224.8807	70.794556	-32.74687	-466.48114	1000.0	468000
118	-0.032907456	156.36438	-19.739576	7.20428	21.720531	-36.46622	-224.31607	70.89686	-32.74687	-466.48114	1000.0	472000
119	-0.033380438	155.96715	-19.737324	7.200178	21.720531	-36.46622	-224.12944	70.90168	-32.74687	-466.48114	1000.0	476000
120	-0.03302558	155.71083	-19.708399	7.2227483	21.720531	-36.964134	-223.77362	71.023636	-32.74687	-466.48114	1000.0	480000
121	-0.033306517	155.50204	-19.675545	7.24171	21.720531	-36.964134	-223.36383	71.26767	-32.74687	-466.48114	1000.0	484000
122	-0.032965694	154.86171	-19.678394	7.248216	21.720531	-36.964134	-223.32512	71.14263	-32.74687	-466.48114	1000.0	488000
123	-0.03339125	154.44633	-19.605095	7.2962413	21.720531	-36.964134	-222.33264	72.054985	-32.74687	-466.48114	1000.0	492000
124	-0.03351487	153.87709	-19.607964	7.3221955	21.720531	-36.964134	-222.24504	72.28045	-32.74687	-466.48114	1000.0	496000
125	-0.033764634	153.52403	-19.592775	7.311268	21.720531	-36.964134	-222.06891	72.35884	-32.74687	-466.48114	1000.0	500000
126	-0.03397362	153.1404	-19.571941	7.3411756	21.720531	-36.964134	-221.72487	72.512024	-32.74687	-466.48114	1000.0	504000
127	-0.033941016	152.71838	-19.58831	7.353286	21.720531	-36.964134	-221.77798	72.63714	-32.74687	-466.48114	1000.0	508000
128	-0.03391376	152.30875	-19.576492	7.3637843	21.720531	-36.964134	-221.48325	72.60923	-32.74687	-466.48114	1000.0	512000
129	-0.033834673	151.5502	-19.572372	7.3707895	21.720531	-36.964134	-221.28279	72.56665	-32.74687	-466.48114	1000.0	516000
130	-0.03368389	151.265	-19.572758	7.368125	21.720531	-36.964134	-221.21776	72.46885	-32.74687	-466.48114	1000.0	520000
131	-0.03395294	151.6553	-19.561306	7.3777733	21.720531	-38.42897	-221.06686	72.461426	-32.74687	-466.48114	1000.0	524000
132	-0.03371665	151.41136	-19.548042	7.3834987	21.720531	-38.42897	-220.86674	72.37022	-32.74687	-466.48114	1000.0	528000
133	-0.033945844	151.0744	-19.543175	7.3984146	21.720531	-38.42897	-220.5724	72.275635	-32.74687	-466.48114	1000.0	532000
134	-0.033905134	150.86037	-19.514942	7.4307327	21.720531	-38.42897	-220.29735	72.663185	-32.74687	-466.48114	1000.0	536000
135	-0.03406516	150.50676	-19.515602	7.4298015	21.720531	-38.42897	-220.25203	72.61503	-32.74687	-466.48114	1000.0	540000
136	-0.03409495	150.7631	-19.534386	7.4288716	21.720531	-38.42897	-220.40198	72.39074	-32.74687	-466.48114	1000.0	544000
137	-0.033737905	150.49057	-19.526115	7.4282055	21.720531	-38.42897	-220.30545	72.29635	-32.74687	-466.48114	1000.0	548000
138	-0.033770997	150.05916	-19.50414	7.4612436	21.720531	-38.42897	-219.98999	72.42511	-32.74687	-466.48114	1000.0	552000
139	-0.033262827	149.62556	-19.49414	7.46647	21.720531	-38.42897	-219.8331	72.431175	-32.74687	-466.48114	1000.0	556000
140	-0.033301834	149.09622	-19.47194	7.4842095	21.720531	-38.42897	-219.5339	72.56662	-32.74687	-466.48114	1000.0	560000
141	-0.033067603	148.63203	-19.472101	7.5023837	21.720531	-38.42897	-219.4135	72.45414	-32.74687	-466.48114	1000.0	564000
142	-0.03331419	147.85674	-19.427267	7.5211825	21.720531	-38.42897	-218.84137	72.807976	-32.74687	-466.48114	1000.0	568000
143	-0.033257853	147.56581	-19.409761	7.5316463	21.720531	-38.42897	-218.5578	72.961044	-32.74687	-466.48114	1000.0	572000
144	-0.033229318	147.33038	-19.430424	7.5326176	21.720531	-38.42897	-218.60689	72.797264	-32.74687	-466.48114	1000.0	576000
145	-0.033241794	147.50063	-19.405672	7.5290017	21.720531	-38.42897	-218.23224	72.77903	-32.74687	-466.48114	1000.0	580000
146	-0.033083864	147.62201	-19.405052	7.5210686	21.720531	-38.42897	-218.19576	72.68751	-32.74687	-466.48114	1000.0	584000
147	-0.033208612	147.20328	-19.368416	7.521844	21.720531	-38.42897	-217.7108	72.75192	-32.74687	-466.48114	1000.0	588000
148	-0.032895256	147.0589	-19.327099	7.5300393	21.720531	-38.42897	-217.28746	72.900055	-32.74687	-466.48114	1000.0	592000
149	-0.032758202	146.62302	-19.315039	7.5331287	21.720531	-38.42897	-217.10426	72.864006	-32.74687	-466.48114	1000.0	596000
150	-0.03284869	146.3187	-19.346748	7.540534	21.720531	-38.42897	-217.33469	72.75276	-32.74687	-466.48114	1000.0	600000
151	-0.032640733	146.1204	-19.308577	7.542943	21.720531	-38.42897	-216.9252	72.85301	-32.74687	-466.48114	1000.0	604000
152	-0.03238852	146.16078	-19.27755	7.5666847	27.191248	-38.42897	-216.49635	73.429726	40.54599	-466.48114	1000.0	608000
153	-0.032112055	145.70749	-19.27221	7.5682206	27.191248	-38.42897	-216.40825	73.35135	40.54599	-466.48114	1000.0	612000
154	-0.03163147	145.66588	-19.215092	7.5988913	27.191248	-38.42897	-215.75903	73.8081	40.54599	-466.48114	1000.0	616000
155	-0.031506833	145.314	-19.183279	7.614491	27.191248	-38.42897	-215.42203	73.825386	40.54599	-466.48114	1000.0	620000
156	-0.031552438	144.9241	-19.14773	7.6233377	27.191248	-38.42897	-214.87427	73.97259	40.54599	-466.48114	1000.0	624000
157	-0.03141674	144.5035	-19.10946	7.638391	27.191248	-38.42897	-214.46158	74.08771	40.54599	-466.48114	1000.0	628000
158	-0.031668972	144.11073	-19.13588	7.649511	27.191248	-38.42897	-214.65558	74.093056	40.54599	-466.48114	1000.0	632000
159	-0.031706445	144.10466	-19.138718	7.649513	27.191248	-38.42897	-214.65363	73.8995	40.54599	-466.48114	1000.0	636000
160	-0.031686805	143.88535	-19.124096	7.6554203	27.191248	-38.42897	-214.50278	73.990906	40.54599	-466.48114	1000.0	640000
161	-0.03176446	143.73521	-19.093645	7.6605296	27.191248	-38.42897	-214.22923	73.897156	40.54599	-466.48114	1000.0	644000
162	-0.031724554	143.77379	-19.07954	7.6521072	27.191248	-38.42897	-214.05984	74.05931	40.54599	-466.48114	1000.0	648000
163	-0.032030188	143.68373	-19.037487	7.6607547	27.191248	-38.42897	-213.56308	74.26091	40.54599	-466.48114	1000.0	652000
164	-0.03212845	143.6382	-19.014982	7.6640825	27.191248	-38.42897	-213.32213	74.400085	40.54599	-466.48114	1000.0	656000
165	-0.03222956	143.40323	-19.00173	7.665286	27.191248	-38.42897	-213.07903	74.30279	40.54599	-466.48114	1000.0	660000
166	-0.032412443	143.32939	-18.98361	7.6564584	27.191248	-38.42897	-212.79297	74.246765	40.54599	-466.48114	1000.0	664000
167	-0.032130234	143.14308	-18.966835	7.6556535	27.191248	-38.42897	-212.61424	74.23335	40.54599	-466.48114	1000.0	668000
168	-0.032080326	142.88586	-18.963379	7.650934	27.191248	-38.42897	-212.49907	74.112404	40.54599	-466.48114	1000.0	672000
169	-0.032044858	142.5458	-18.956707	7.653708	27.191248	-38.42897	-212.40213	74.10417	40.54599	-466.48114	1000.0	676000
170	-0.03216792	142.33612	-18.965672	7.6516814	27.191248	-38.42897	-212.44324	73.94032	40.54599	-466.48114	1000.0	680000
171	-0.03254393	142.16876	-18.929108	7.657273	27.191248	-38.42897	-212.00616	74.075836	40.54599	-466.48114	1000.0	684000
172	-0.032692797	141.95792	-18.92117	7.6459694	27.191248	-38.42897	-211.78487	74.00016	40.54599	-466.48114	1000.0	688000
173	-0.03252619	141.87651	-18.90056	7.6453547	27.191248	-38.42897	-211.53378	73.99266	40.54599	-466.48114	1000.0	692000
174	-0.032716617	141.48462	-18.898434	7.643692	27.191248	-38.42897	-211.4668	73.83226	40.54599	-466.48114	1000.0	696000
175	-0.032792326	141.28027	-18.869223	7.640951	27.191248	-38.42897	-211.1558	73.7838	40.54599	-466.48114	1000.0	700000
176	-0.032754883	141.35666	-18.867365	7.629657	27.191248	-38.42897	-211.11324	73.66305	40.54599	-466.48114	1000.0	704000
177	-0.032799356	141.04341	-18.838945	7.6413603	27.191248	-38.42897	-210.71533	73.783905	40.54599	-466.48114	1000.0	708000
