epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
73	-14.681299	2.238092	14.479674	21.913197	125.34115	-210.7157	14.47961	21.914068	122.208626	-203.24992	62.841858	171.15332	316.4897	-163.35402	622.60126	0.013518299	292000	-0.077973194
74	-14.744142	2.2320797	14.544051	21.853292	125.34115	-210.7157	14.543988	21.854158	122.208626	-203.24992	64.80581	171.57397	316.4897	-163.35402	623.1579	0.013452399	296000	-0.07652651
75	-14.808908	2.229143	14.610308	21.795053	125.34115	-210.7157	14.61024	21.795956	122.208626	-203.24992	67.0256	172.16463	316.4897	-163.35402	625.0	0.013390533	300000	-0.07673632
76	-14.875788	2.2269266	14.6785755	21.737278	125.34115	-210.7157	14.678513	21.738178	122.208626	-203.24992	69.385216	172.85497	316.4897	-163.35402	626.80414	0.013328278	304000	-0.074166656
77	-14.944949	2.2226696	14.74918	21.678696	125.34115	-210.7157	14.749116	21.679543	122.208626	-203.24992	71.75569	173.55774	316.4897	-163.35402	628.5714	0.013264507	308000	-0.07347355
78	-15.0135765	2.2211187	14.8193	21.621853	125.34115	-210.7157	14.819237	21.6227	122.208626	-203.24992	74.01607	174.15082	316.4897	-163.35402	630.30304	0.013207299	312000	-0.0723135
79	-15.082427	2.2173436	14.889554	21.567991	125.34115	-210.7157	14.889491	21.568846	122.208626	-203.24992	76.28189	174.75357	316.4897	-163.35402	632.0	0.013154832	316000	-0.072136916
80	-15.1525545	2.2148943	14.960996	21.51385	125.34115	-210.7157	14.960929	21.514719	122.208626	-203.24992	78.52031	175.33609	316.99768	-163.35402	633.6634	0.013095914	320000	-0.07104414
81	-15.224324	2.2113385	15.0341625	21.460497	125.34115	-210.7157	15.034098	21.46136	122.208626	-203.24992	80.76046	175.9258	316.99768	-163.35402	635.2941	0.013037588	324000	-0.07001131
82	-15.296538	2.2084277	15.107664	21.410591	125.34115	-210.7157	15.107604	21.411436	122.208626	-203.24992	82.84731	176.35716	316.99768	-163.35402	636.8932	0.012988868	328000	-0.0683667
