epoch	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	total-env-interacts
108	-200.1177	47.45705	-150.9427	-257.06714	1000.0	-6.597028	129.75624	-18.745676	2.289846	-10.06811	-21.820974	432000
109	-120.86318	100.96147	-28.38388	-282.16177	1000.0	8.487358	335.68423	-12.285492	2.9197536	0.7391676	-17.020672	436000
110	-153.0816	27.483427	-110.23408	-178.45525	1000.0	-1.8980739	173.25562	-14.303252	1.7840238	-6.585274	-17.72032	440000
111	-114.773224	65.769806	-38.323013	-183.4835	1000.0	4.5840797	303.68524	-12.682321	2.622398	-2.1133325	-16.077738	444000
112	-163.85129	69.884834	-44.76497	-220.21754	1000.0	-3.5693035	237.38812	-14.34528	2.2512808	-8.015095	-17.028873	448000
113	-211.48495	49.753895	-125.445366	-243.75758	1000.0	-7.4967012	110.98721	-18.65887	2.3463032	-9.458194	-21.928148	452000
114	-135.3986	131.559	60.315266	-263.69547	1000.0	7.148581	202.0806	-12.851293	7.7711053	5.8423095	-22.03912	456000
115	-165.64333	97.80569	-54.239162	-311.15112	1000.0	-6.0256214	295.02106	-16.060429	5.1354837	-4.1676135	-23.052141	460000
116	-182.67122	45.674595	-120.157585	-241.7486	1000.0	1.0566702	185.42986	-17.037966	2.847555	-9.694045	-21.833454	464000
117	-194.93082	40.575455	-133.41306	-247.30789	1000.0	-0.16717479	171.07623	-19.012297	2.0362906	-10.24085	-21.96717	468000
118	-94.85813	80.89604	-2.4788363	-224.34285	1000.0	11.083931	353.0907	-10.663941	3.6630142	1.5579685	-18.797308	472000
119	-45.566833	119.55254	127.26511	-203.68968	1000.0	10.372807	370.3816	-5.5258446	6.112443	6.385495	-17.110712	476000
120	-134.06401	42.33119	-87.323296	-202.68056	1000.0	-10.058685	124.21303	-12.882166	3.2366464	-3.9640694	-18.617493	480000
121	-22.644108	90.75479	77.016655	-117.3647	1000.0	12.701606	337.08463	-3.341326	4.2812066	4.0025873	-13.6430855	484000
122	-131.79172	84.58807	-32.76009	-219.24992	1000.0	-11.591404	281.1054	-11.494279	4.837657	0.64045024	-19.662352	488000
123	-171.14714	79.37698	-56.14776	-253.83534	1000.0	-6.469714	158.85474	-15.103107	4.1906323	-4.9968877	-21.144342	492000
124	-182.6351	68.905266	-70.789925	-253.06079	1000.0	-1.6486975	253.89491	-17.409664	3.045093	-7.6321507	-21.30339	496000
125	-161.42032	84.77044	-47.7239	-277.134	1000.0	1.4244351	265.61777	-15.772498	3.6196377	-6.187757	-21.31725	500000
126	-151.66562	58.83153	-58.23948	-220.83464	1000.0	4.3436613	180.52625	-15.094678	2.3690102	-7.8509545	-18.181204	504000
127	-84.71995	80.72418	-7.474853	-212.15451	1000.0	8.454777	207.40341	-9.675564	3.1349456	0.6165509	-15.133392	508000
128	-65.64978	60.695705	3.4269273	-163.05043	1000.0	2.682999	384.83093	-6.21706	1.2146345	-2.0582836	-12.499658	512000
129	-93.43284	44.807053	-41.18209	-161.6419	1000.0	-3.6934958	308.90967	-9.370668	0.93314266	-5.2343163	-12.828503	516000
130	-203.16562	27.460457	-167.52689	-240.33803	1000.0	-13.259738	125.40057	-17.074718	1.8581786	-10.701891	-19.989168	520000
131	-178.51042	54.56855	-138.98444	-272.6185	1000.0	0.52688646	155.66766	-17.71027	1.3713725	-11.033303	-20.017525	524000
132	-155.94144	52.012638	-66.59761	-196.57861	1000.0	3.487682	216.21829	-16.307646	1.9713022	-6.4709816	-19.329514	528000
133	-55.27733	18.096523	-32.762074	-80.83086	1000.0	14.321423	306.2059	-6.6390343	2.209479	-0.08944276	-12.740229	532000
134	-196.08594	45.04623	-129.23332	-256.21667	1000.0	-15.7379465	199.52884	-14.546558	1.7821609	-8.032945	-19.711555	536000
135	-205.21451	38.453823	-140.53708	-238.59973	1000.0	-6.2298136	114.65165	-19.139076	2.5092587	-10.241017	-23.280844	540000
136	-162.32468	59.222282	-72.824974	-225.32928	1000.0	4.23269	262.5213	-16.104902	1.8757906	-10.936764	-20.184063	544000
137	-133.4826	59.779156	-89.28791	-236.1281	1000.0	5.4957757	260.23904	-13.722578	2.2797992	-4.75058	-18.142921	548000
138	-77.65613	70.58979	18.146664	-169.8999	1000.0	8.627164	398.61133	-8.347485	2.378816	-0.9394181	-14.949322	552000
139	-152.01988	45.69575	-73.21571	-182.65279	1000.0	-9.103786	251.32367	-13.030048	1.5719569	-7.61044	-17.027079	556000
140	-90.26158	69.30771	-24.3656	-197.43877	1000.0	6.813032	221.66861	-9.563996	3.544143	0.96309316	-16.993944	560000
141	-199.6423	74.31455	-84.23315	-275.30527	1000.0	-11.688043	210.22786	-16.75571	3.6926212	-5.527715	-22.253836	564000
142	-202.35797	63.0745	-94.034775	-251.70325	1000.0	-2.8794408	138.05797	-18.828495	3.8977563	-8.878775	-23.879276	568000
143	-160.67447	41.167503	-89.67928	-190.23679	1000.0	6.0992846	136.28778	-16.488922	2.7081335	-9.459479	-21.10882	572000
144	-74.9869	44.09716	0.8263096	-108.98319	1000.0	10.155987	305.9931	-7.438166	1.7725523	2.164081	-16.649797	576000
145	-103.67647	89.08731	-17.22394	-250.6725	1000.0	-1.2831354	338.09137	-11.088735	4.41659	-0.9506601	-18.788067	580000
146	-90.36929	174.949	102.44026	-281.20782	1000.0	1.3455791	292.80432	-7.48972	10.870381	13.301315	-21.890715	584000
147	-172.27196	37.40748	-119.76773	-218.62552	1000.0	-2.8564992	213.04971	-17.507376	2.752716	-6.405737	-20.241474	588000
148	-182.10626	89.96375	-31.864267	-263.77887	1000.0	-3.4142284	211.2666	-16.84626	4.4076605	2.511741	-22.8102	592000
149	-161.42253	92.00258	-4.9428134	-235.45071	1000.0	3.219113	174.35315	-14.990421	4.9081025	-0.78335625	-21.63406	596000
150	-114.89107	90.89232	-51.73728	-271.5674	1000.0	5.062819	342.87387	-10.395384	6.826646	3.194924	-20.120344	600000
